Perusahaan,ROA,ROE,ROI
ADHI19,0.018,0.097,0.018
ADHI20,0.001,0.004,0.002
ADHI21,0.002,0.015,0.002
DGIK19,0.001,0.002,0.005
DGIK20,-0.012,-0.023,-0.017
DGIK21,0.010,0.012,0.005
NRCA19,0.041,0.083,0.035
NRCA20,0.025,0.048,0.025
NRCA21,0.024,0.044,0.023
PTPP19,0.020,0.070,0.002
PTPP20,0.005,0.019,0.004
PTPP21,0.007,0.025,0.007
TOTL19,0.059,0.163,0.054
TOTL20,0.038,0.095,0.036
TOTL21,0.038,0.083,0.047
WIKA19,0.042,0.136,0.004
WIKA20,0.005,0.019,0.004
WIKA21,0.003,0.012,0.003
WSKT19,0.008,0.035,0.008
WSKT20,-0.090,-0.573,-0.089
WSKT21,-0.018,-0.119,-0.017
JKON19,0.041,0.075,0.046
JKON20,0.011,0.019,0.022
JKON21,-0.009,-0.014,-0.008
CSIS19,-0.020,-0.035,-0.020
CSIS20,0.023,0.046,0.024
CSIS21,0.038,0.083,0.038
IDPR19,-0.002,-0.004,-0.002
IDPR20,-0.253,-0.516,-0.251
IDPR21,-0.097,-0.166,-0.091
TOPS19,-0.070,-0.123,-0.068
TOPS20,-0.058,-0.090,-0.058
TOPS21,0.000,0.000,0.001
WEGE19,0.074,0.122,0.074
WEGE20,0.026,0.040,0.026
WEGE21,0.036,0.060,0.036
PBSA19,0.018,0.072,0.019
PBSA20,0.061,0.260,0.068
PBSA21,0.107,0.425,0.110
SRKN19,0.082,0.147,0.081
SRKN20,0.006,0.010,0.008
SRKN21,0.003,0.004,0.003
SSIA19,0.017,0.038,0.011
SSIA20,-0.010,-0.023,-0.014
SSIA21,-0.025,-0.005,-0.021
TAMA19,0.012,0.014,0.011
TAMA20,-0.024,-0.034,-0.023
TAMA21,0.000,0.001,0.002
